img: input\IMG_0568.JPG, mathes: 4507, good: 63, delta: 4444, time/size: 1.046690529962621 sec, localization error: 83.60169770337997
img: input\IMG_0569.JPG, mathes: 4507, good: 53, delta: 4454, time/size: 0.9146197591430028 sec, localization error: 98.28265911908636
img: input\IMG_0570.JPG, mathes: 4507, good: 41, delta: 4466, time/size: 1.135633774014842 sec, localization error: 336.4300334047711
img: input\IMG_0571.JPG, mathes: 4507, good: 44, delta: 4463, time/size: 1.0500068699333809 sec, localization error: 146.54035967443542
img: input\IMG_0572.JPG, mathes: 4507, good: 31, delta: 4476, time/size: 0.8948950080102919 sec, localization error: 235.3383119726458
img: input\IMG_0573.JPG, mathes: 4507, good: 71, delta: 4436, time/size: 0.9762015425113808 sec, localization error: 320.4127561159042
img: input\IMG_0574.JPG, mathes: 4507, good: 51, delta: 4456, time/size: 1.0219342038058066 sec, localization error: 217.6012221388755
img: input\IMG_0575.JPG, mathes: 4507, good: 31, delta: 4476, time/size: 0.9760592252184189 sec, localization error: 534.0483425885102
img: input\IMG_0576.JPG, mathes: 4507, good: 56, delta: 4451, time/size: 0.9129388736576414 sec, localization error: 548.6882214272866
img: input\IMG_0577.JPG, mathes: 4507, good: 68, delta: 4439, time/size: 0.9657252268194169 sec, localization error: 106.2849374404331
img: input\IMG_0578.JPG, mathes: 4507, good: 51, delta: 4456, time/size: 1.0150179859081387 sec, localization error: 66.60093170055318
img: input\IMG_0579.JPG, mathes: 4507, good: 29, delta: 4478, time/size: 1.0205058042682364 sec, localization error: 62.15130623067081
img: input\IMG_0580.JPG, mathes: 4507, good: 75, delta: 4432, time/size: 1.1823710141766446 sec, localization error: 3.6568135269417534
img: input\IMG_0581.JPG, mathes: 4507, good: 54, delta: 4453, time/size: 0.8972137261376348 sec, localization error: 186.88240520112586
img: input\IMG_0582.JPG, mathes: 4507, good: 63, delta: 4444, time/size: 0.8753236184461871 sec, localization error: 138.7183179150694
img: input\IMG_0583.JPG, mathes: 4507, good: 51, delta: 4456, time/size: 0.8499431564061117 sec, localization error: 207.03505711408394
img: input\IMG_0584.JPG, mathes: 4507, good: 43, delta: 4464, time/size: 0.9476085396199226 sec, localization error: 102.23903816482355
img: input\IMG_0585.JPG, mathes: 4507, good: 40, delta: 4467, time/size: 0.9588340994872824 sec, localization error: 109.75868962299103
img: input\IMG_0586.JPG, mathes: 4507, good: 42, delta: 4465, time/size: 0.833217764642316 sec, localization error: 138.25232662514512
img: input\IMG_0587.JPG, mathes: 4507, good: 69, delta: 4438, time/size: 0.7687940526812503 sec, localization error: 193.1275634954506
img: input\IMG_0588.JPG, mathes: 4507, good: 183, delta: 4324, time/size: 0.7613176430109352 sec, localization error: 198.8764116572126
img: input\IMG_0589.JPG, mathes: 4507, good: 50, delta: 4457, time/size: 1.3288604190744682 sec, localization error: 528.7400823321659
img: input\IMG_0590.JPG, mathes: 4507, good: 66, delta: 4441, time/size: 1.5095353429885818 sec, localization error: 681.1682271177981
img: input\IMG_0591.JPG, mathes: 4507, good: 74, delta: 4433, time/size: 0.9908878821102053 sec, localization error: 39.47313645395234
